,precision,recall,f1-score,support
apple_pie,0.691304347826087,0.636,0.6625,250.0
baby_back_ribs,0.7956204379562044,0.872,0.8320610687022901,250.0
baklava,0.8928571428571429,0.9,0.896414342629482,250.0
beef_carpaccio,0.8930041152263375,0.868,0.8803245436105477,250.0
beef_tartare,0.7851851851851852,0.848,0.8153846153846154,250.0
beet_salad,0.7479674796747967,0.736,0.7419354838709677,250.0
beignets,0.889763779527559,0.904,0.8968253968253969,250.0
bibimbap,0.9069767441860465,0.936,0.9212598425196851,250.0
bread_pudding,0.6851063829787234,0.644,0.6639175257731958,250.0
breakfast_burrito,0.8210116731517509,0.844,0.8323471400394478,250.0
bruschetta,0.812,0.812,0.812,250.0
caesar_salad,0.891566265060241,0.888,0.8897795591182365,250.0
cannoli,0.9369747899159664,0.892,0.9139344262295082,250.0
caprese_salad,0.8415094339622642,0.892,0.8660194174757282,250.0
carrot_cake,0.8015873015873016,0.808,0.8047808764940239,250.0
ceviche,0.7310924369747899,0.696,0.7131147540983607,250.0
cheesecake,0.7676348547717843,0.74,0.7535641547861507,250.0
cheese_plate,0.9,0.9,0.9,250.0
chicken_curry,0.8163265306122449,0.8,0.8080808080808081,250.0
chicken_quesadilla,0.8262548262548263,0.856,0.8408644400785854,250.0
chicken_wings,0.8897338403041825,0.936,0.9122807017543859,250.0
chocolate_cake,0.7958333333333333,0.764,0.7795918367346939,250.0
chocolate_mousse,0.6564885496183206,0.688,0.671875,250.0
churros,0.9583333333333334,0.92,0.9387755102040817,250.0
clam_chowder,0.9047619047619048,0.912,0.9083665338645418,250.0
club_sandwich,0.8609022556390977,0.916,0.8875968992248062,250.0
crab_cakes,0.7183098591549296,0.816,0.7640449438202247,250.0
creme_brulee,0.907258064516129,0.9,0.9036144578313253,250.0
croque_madame,0.8700787401574803,0.884,0.876984126984127,250.0
cup_cakes,0.9090909090909091,0.92,0.9145129224652088,250.0
deviled_eggs,0.9437751004016064,0.94,0.9418837675350702,250.0
donuts,0.8482490272373541,0.872,0.8599605522682445,250.0
dumplings,0.9262295081967213,0.904,0.9149797570850202,250.0
edamame,0.9959514170040485,0.984,0.9899396378269618,250.0
eggs_benedict,0.8980392156862745,0.916,0.906930693069307,250.0
escargots,0.904,0.904,0.904,250.0
falafel,0.8483606557377049,0.828,0.8380566801619433,250.0
filet_mignon,0.6724738675958188,0.772,0.7188081936685289,250.0
fish_and_chips,0.8875968992248062,0.916,0.9015748031496063,250.0
foie_gras,0.6976744186046512,0.6,0.6451612903225806,250.0
french_fries,0.8754716981132076,0.928,0.9009708737864077,250.0
french_onion_soup,0.8700787401574803,0.884,0.876984126984127,250.0
french_toast,0.8048780487804879,0.792,0.7983870967741935,250.0
fried_calamari,0.872,0.872,0.872,250.0
fried_rice,0.9024390243902439,0.888,0.8951612903225806,250.0
